Temperature,YCH4,viscosityWilke,viscosityDavidson
293.15,0.877042,1.15706e-05,1.14949e-05
293.15,0.875858,1.15765e-05,1.15001e-05
293.15,0.874674,1.15823e-05,1.15053e-05
293.15,0.873489,1.15882e-05,1.15105e-05
293.15,0.872305,1.15941e-05,1.15156e-05
293.15,0.871121,1.16e-05,1.15208e-05
293.15,0.869936,1.16059e-05,1.15261e-05
293.15,0.868752,1.16118e-05,1.15313e-05
293.15,0.867568,1.16177e-05,1.15365e-05
293.15,0.866384,1.16236e-05,1.15417e-05
293.15,0.865199,1.16295e-05,1.15469e-05
293.15,0.864015,1.16355e-05,1.15522e-05
293.15,0.862831,1.16414e-05,1.15574e-05
293.15,0.861646,1.16473e-05,1.15627e-05
293.15,0.860462,1.16533e-05,1.15679e-05
293.15,0.859278,1.16592e-05,1.15732e-05
293.15,0.858094,1.16652e-05,1.15785e-05
293.15,0.856909,1.16711e-05,1.15837e-05
293.15,0.855725,1.16771e-05,1.1589e-05
293.15,0.854541,1.16831e-05,1.15943e-05
293.15,0.853356,1.16891e-05,1.15996e-05
293.15,0.852172,1.1695e-05,1.16049e-05
293.15,0.850988,1.1701e-05,1.16102e-05
293.15,0.849804,1.1707e-05,1.16155e-05
293.15,0.848619,1.1713e-05,1.16209e-05
293.15,0.847435,1.1719e-05,1.16262e-05
293.15,0.846251,1.1725e-05,1.16315e-05
293.15,0.845067,1.1731e-05,1.16369e-05
293.15,0.843882,1.17371e-05,1.16422e-05
293.15,0.842698,1.17431e-05,1.16476e-05
293.15,0.841514,1.17491e-05,1.16529e-05
293.15,0.840329,1.17552e-05,1.16583e-05
293.15,0.839145,1.17612e-05,1.16637e-05
293.15,0.837961,1.17673e-05,1.16691e-05
293.15,0.836777,1.17733e-05,1.16745e-05
293.15,0.835592,1.17794e-05,1.16799e-05
293.15,0.834408,1.17855e-05,1.16853e-05
293.15,0.833224,1.17915e-05,1.16907e-05
293.15,0.832039,1.17976e-05,1.16961e-05
293.15,0.830855,1.18037e-05,1.17015e-05
293.15,0.829671,1.18098e-05,1.17069e-05
293.15,0.828487,1.18159e-05,1.17124e-05
293.15,0.827302,1.1822e-05,1.17178e-05
293.15,0.826118,1.18281e-05,1.17233e-05
293.15,0.824934,1.18342e-05,1.17287e-05
293.15,0.823667,1.18408e-05,1.17346e-05
293.15,0.822111,1.18488e-05,1.17418e-05
293.15,0.820555,1.18569e-05,1.1749e-05
293.15,0.818999,1.1865e-05,1.17562e-05
293.15,0.817443,1.1873e-05,1.17634e-05
293.15,0.815887,1.18811e-05,1.17706e-05
293.15,0.814331,1.18892e-05,1.17779e-05
293.15,0.812775,1.18973e-05,1.17851e-05
293.15,0.811219,1.19055e-05,1.17924e-05
293.15,0.809663,1.19136e-05,1.17997e-05
293.15,0.808107,1.19218e-05,1.1807e-05
293.15,0.806551,1.19299e-05,1.18143e-05
293.15,0.804996,1.19381e-05,1.18216e-05
293.15,0.80344,1.19462e-05,1.18289e-05
293.15,0.801884,1.19544e-05,1.18363e-05
293.15,0.800328,1.19626e-05,1.18436e-05
293.15,0.798772,1.19708e-05,1.1851e-05
293.15,0.797216,1.19791e-05,1.18584e-05
293.15,0.79566,1.19873e-05,1.18658e-05
293.15,0.794104,1.19955e-05,1.18732e-05
293.15,0.792548,1.20038e-05,1.18806e-05
293.15,0.790992,1.2012e-05,1.1888e-05
293.15,0.789436,1.20203e-05,1.18955e-05
293.15,0.78788,1.20286e-05,1.19029e-05
293.15,0.786324,1.20369e-05,1.19104e-05
293.15,0.784768,1.20452e-05,1.19179e-05
293.15,0.783212,1.20535e-05,1.19254e-05
293.15,0.781656,1.20618e-05,1.19329e-05
293.15,0.7801,1.20702e-05,1.19404e-05
293.15,0.778544,1.20785e-05,1.19479e-05
293.15,0.776988,1.20869e-05,1.19555e-05
293.15,0.775432,1.20952e-05,1.1963e-05
293.15,0.773877,1.21036e-05,1.19706e-05
293.15,0.772321,1.2112e-05,1.19782e-05
293.15,0.770765,1.21204e-05,1.19858e-05
293.15,0.769209,1.21288e-05,1.19934e-05
293.15,0.767653,1.21372e-05,1.2001e-05
293.15,0.766097,1.21457e-05,1.20086e-05
293.15,0.764541,1.21541e-05,1.20163e-05
293.15,0.762985,1.21626e-05,1.20239e-05
293.15,0.761429,1.2171e-05,1.20316e-05
293.15,0.759873,1.21795e-05,1.20393e-05
293.15,0.758317,1.2188e-05,1.2047e-05
293.15,0.756761,1.21965e-05,1.20547e-05
293.15,0.755205,1.2205e-05,1.20624e-05
293.15,0.753649,1.22135e-05,1.20701e-05
293.15,0.752093,1.22221e-05,1.20779e-05
293.15,0.750537,1.22306e-05,1.20856e-05
293.15,0.748981,1.22392e-05,1.20934e-05
293.15,0.747425,1.22477e-05,1.21012e-05
293.15,0.745869,1.22563e-05,1.2109e-05
293.15,0.744313,1.22649e-05,1.21168e-05
293.15,0.742758,1.22735e-05,1.21246e-05
293.15,0.741202,1.22821e-05,1.21325e-05
293.15,0.739646,1.22907e-05,1.21403e-05
293.15,0.73809,1.22994e-05,1.21482e-05
293.15,0.736337,1.23091e-05,1.21571e-05
293.15,0.734485,1.23194e-05,1.21665e-05
293.15,0.732634,1.23297e-05,1.21759e-05
293.15,0.730782,1.23401e-05,1.21853e-05
293.15,0.72893,1.23504e-05,1.21948e-05
293.15,0.727079,1.23608e-05,1.22042e-05
293.15,0.725227,1.23712e-05,1.22137e-05
293.15,0.723376,1.23816e-05,1.22232e-05
293.15,0.721524,1.2392e-05,1.22328e-05
293.15,0.719672,1.24024e-05,1.22423e-05
293.15,0.717821,1.24129e-05,1.22519e-05
293.15,0.715969,1.24233e-05,1.22615e-05
293.15,0.714118,1.24338e-05,1.22711e-05
293.15,0.712266,1.24443e-05,1.22807e-05
293.15,0.710414,1.24548e-05,1.22903e-05
293.15,0.708563,1.24654e-05,1.23e-05
293.15,0.706711,1.24759e-05,1.23097e-05
293.15,0.70486,1.24865e-05,1.23194e-05
293.15,0.703008,1.24971e-05,1.23291e-05
293.15,0.701156,1.25077e-05,1.23389e-05
293.15,0.699305,1.25183e-05,1.23486e-05
293.15,0.697453,1.25289e-05,1.23584e-05
293.15,0.695602,1.25396e-05,1.23682e-05
293.15,0.69375,1.25502e-05,1.23781e-05
293.15,0.691899,1.25609e-05,1.23879e-05
293.15,0.690047,1.25716e-05,1.23978e-05
293.15,0.688195,1.25823e-05,1.24077e-05
293.15,0.686344,1.25931e-05,1.24176e-05
293.15,0.684492,1.26038e-05,1.24275e-05
293.15,0.682641,1.26146e-05,1.24375e-05
293.15,0.680789,1.26254e-05,1.24474e-05
293.15,0.678937,1.26362e-05,1.24574e-05
293.15,0.677086,1.2647e-05,1.24674e-05
293.15,0.675234,1.26578e-05,1.24775e-05
293.15,0.673383,1.26687e-05,1.24875e-05
293.15,0.671531,1.26796e-05,1.24976e-05
293.15,0.66968,1.26905e-05,1.25077e-05
293.15,0.667828,1.27014e-05,1.25178e-05
293.15,0.665976,1.27123e-05,1.25279e-05
293.15,0.664125,1.27232e-05,1.25381e-05
293.15,0.662273,1.27342e-05,1.25483e-05
293.15,0.660422,1.27452e-05,1.25585e-05
293.15,0.65857,1.27562e-05,1.25687e-05
293.15,0.656718,1.27672e-05,1.25789e-05
293.15,0.654867,1.27782e-05,1.25892e-05
293.15,0.653015,1.27893e-05,1.25995e-05
293.15,0.651164,1.28004e-05,1.26098e-05
293.15,0.649312,1.28114e-05,1.26201e-05
293.15,0.647461,1.28225e-05,1.26305e-05
293.15,0.645609,1.28337e-05,1.26408e-05
293.15,0.643757,1.28448e-05,1.26512e-05
293.15,0.641906,1.2856e-05,1.26617e-05
293.15,0.640054,1.28671e-05,1.26721e-05
293.15,0.638203,1.28783e-05,1.26826e-05
293.15,0.636351,1.28895e-05,1.2693e-05
293.15,0.634483,1.29009e-05,1.27036e-05
293.15,0.632479,1.29131e-05,1.2715e-05
293.15,0.630475,1.29253e-05,1.27265e-05
293.15,0.628471,1.29375e-05,1.27379e-05
293.15,0.626467,1.29497e-05,1.27494e-05
293.15,0.624464,1.2962e-05,1.27609e-05
293.15,0.62246,1.29743e-05,1.27724e-05
293.15,0.620456,1.29866e-05,1.27839e-05
293.15,0.618452,1.29989e-05,1.27955e-05
293.15,0.616448,1.30112e-05,1.28071e-05
293.15,0.614445,1.30236e-05,1.28188e-05
293.15,0.612441,1.3036e-05,1.28304e-05
293.15,0.610437,1.30484e-05,1.28421e-05
293.15,0.608433,1.30609e-05,1.28538e-05
293.15,0.60643,1.30733e-05,1.28656e-05
293.15,0.604426,1.30858e-05,1.28773e-05
293.15,0.602422,1.30983e-05,1.28891e-05
293.15,0.600418,1.31108e-05,1.29009e-05
293.15,0.598414,1.31234e-05,1.29128e-05
293.15,0.596411,1.31359e-05,1.29247e-05
293.15,0.594407,1.31485e-05,1.29366e-05
293.15,0.592403,1.31612e-05,1.29485e-05
293.15,0.590399,1.31738e-05,1.29605e-05
293.15,0.588395,1.31865e-05,1.29724e-05
293.15,0.586392,1.31991e-05,1.29845e-05
293.15,0.584388,1.32118e-05,1.29965e-05
293.15,0.582384,1.32246e-05,1.30086e-05
293.15,0.58038,1.32373e-05,1.30207e-05
293.15,0.578376,1.32501e-05,1.30328e-05
293.15,0.576373,1.32629e-05,1.3045e-05
293.15,0.574369,1.32757e-05,1.30572e-05
293.15,0.572365,1.32886e-05,1.30694e-05
293.15,0.570361,1.33014e-05,1.30816e-05
293.15,0.568358,1.33143e-05,1.30939e-05
293.15,0.566354,1.33273e-05,1.31062e-05
293.15,0.56435,1.33402e-05,1.31185e-05
293.15,0.562346,1.33532e-05,1.31309e-05
293.15,0.560342,1.33661e-05,1.31433e-05
293.15,0.558339,1.33792e-05,1.31557e-05
293.15,0.556335,1.33922e-05,1.31681e-05
293.15,0.554331,1.34052e-05,1.31806e-05
293.15,0.552327,1.34183e-05,1.31931e-05
293.15,0.550324,1.34314e-05,1.32056e-05
293.15,0.54832,1.34446e-05,1.32182e-05
293.15,0.546316,1.34577e-05,1.32308e-05
293.15,0.544312,1.34709e-05,1.32434e-05
293.15,0.542308,1.34841e-05,1.32561e-05
293.15,0.540305,1.34973e-05,1.32688e-05
293.15,0.538301,1.35106e-05,1.32815e-05
293.15,0.536297,1.35238e-05,1.32942e-05
293.15,0.534293,1.35371e-05,1.3307e-05
293.15,0.532289,1.35505e-05,1.33198e-05
293.15,0.530286,1.35638e-05,1.33326e-05
293.15,0.528282,1.35772e-05,1.33455e-05
293.15,0.526278,1.35906e-05,1.33584e-05
293.15,0.524274,1.3604e-05,1.33713e-05
293.15,0.52228,1.36174e-05,1.33842e-05
293.15,0.520292,1.36308e-05,1.33971e-05
293.15,0.518304,1.36441e-05,1.34101e-05
293.15,0.516317,1.36576e-05,1.3423e-05
293.15,0.514329,1.3671e-05,1.3436e-05
293.15,0.512341,1.36845e-05,1.3449e-05
293.15,0.510354,1.36979e-05,1.3462e-05
293.15,0.508366,1.37114e-05,1.34751e-05
293.15,0.506379,1.3725e-05,1.34882e-05
293.15,0.504391,1.37385e-05,1.35014e-05
293.15,0.502403,1.37521e-05,1.35145e-05
293.15,0.500416,1.37657e-05,1.35277e-05
293.15,0.498428,1.37794e-05,1.3541e-05
293.15,0.49644,1.3793e-05,1.35542e-05
293.15,0.494453,1.38067e-05,1.35675e-05
293.15,0.492465,1.38204e-05,1.35808e-05
293.15,0.490478,1.38342e-05,1.35942e-05
293.15,0.48849,1.38479e-05,1.36076e-05
293.15,0.486502,1.38617e-05,1.3621e-05
293.15,0.484515,1.38756e-05,1.36345e-05
293.15,0.482527,1.38894e-05,1.3648e-05
293.15,0.48054,1.39033e-05,1.36615e-05
293.15,0.478552,1.39172e-05,1.3675e-05
293.15,0.476564,1.39311e-05,1.36886e-05
293.15,0.474577,1.3945e-05,1.37023e-05
293.15,0.472589,1.3959e-05,1.37159e-05
293.15,0.470601,1.3973e-05,1.37296e-05
293.15,0.468614,1.3987e-05,1.37433e-05
293.15,0.466626,1.40011e-05,1.37571e-05
293.15,0.464639,1.40151e-05,1.37709e-05
293.15,0.462651,1.40292e-05,1.37847e-05
293.15,0.460663,1.40434e-05,1.37985e-05
293.15,0.458676,1.40575e-05,1.38124e-05
293.15,0.456688,1.40717e-05,1.38264e-05
293.15,0.4547,1.40859e-05,1.38403e-05
293.15,0.452713,1.41002e-05,1.38543e-05
293.15,0.450725,1.41144e-05,1.38683e-05
293.15,0.448738,1.41287e-05,1.38824e-05
293.15,0.44675,1.4143e-05,1.38965e-05
293.15,0.444762,1.41574e-05,1.39106e-05
293.15,0.442775,1.41718e-05,1.39248e-05
293.15,0.440787,1.41862e-05,1.3939e-05
293.15,0.438799,1.42006e-05,1.39532e-05
293.15,0.436812,1.4215e-05,1.39675e-05
293.15,0.434824,1.42295e-05,1.39818e-05
293.15,0.432837,1.4244e-05,1.39961e-05
293.15,0.430849,1.42586e-05,1.40105e-05
293.15,0.428861,1.42731e-05,1.40249e-05
293.15,0.426874,1.42877e-05,1.40394e-05
293.15,0.424886,1.43023e-05,1.40539e-05
293.15,0.422899,1.4317e-05,1.40684e-05
293.15,0.420911,1.43317e-05,1.4083e-05
293.15,0.418923,1.43464e-05,1.40976e-05
293.15,0.416936,1.43611e-05,1.41122e-05
293.15,0.414948,1.43759e-05,1.41269e-05
293.15,0.41296,1.43907e-05,1.41416e-05
293.15,0.411137,1.44043e-05,1.41551e-05
293.15,0.409313,1.44179e-05,1.41686e-05
293.15,0.40749,1.44315e-05,1.41822e-05
293.15,0.405666,1.44452e-05,1.41958e-05
293.15,0.403843,1.44589e-05,1.42095e-05
293.15,0.402019,1.44726e-05,1.42232e-05
293.15,0.400195,1.44863e-05,1.42369e-05
293.15,0.398372,1.45001e-05,1.42506e-05
293.15,0.396548,1.45139e-05,1.42644e-05
293.15,0.394725,1.45277e-05,1.42782e-05
293.15,0.392901,1.45415e-05,1.4292e-05
293.15,0.391078,1.45554e-05,1.43059e-05
293.15,0.389254,1.45693e-05,1.43198e-05
293.15,0.387431,1.45832e-05,1.43337e-05
293.15,0.385607,1.45971e-05,1.43477e-05
293.15,0.383783,1.46111e-05,1.43617e-05
293.15,0.38196,1.46251e-05,1.43757e-05
293.15,0.380136,1.46391e-05,1.43898e-05
293.15,0.378313,1.46531e-05,1.44039e-05
293.15,0.376489,1.46672e-05,1.4418e-05
293.15,0.374666,1.46813e-05,1.44322e-05
293.15,0.372842,1.46954e-05,1.44464e-05
293.15,0.371018,1.47096e-05,1.44606e-05
293.15,0.369195,1.47237e-05,1.44749e-05
293.15,0.367371,1.47379e-05,1.44892e-05
293.15,0.365548,1.47521e-05,1.45035e-05
293.15,0.363724,1.47664e-05,1.45179e-05
293.15,0.361901,1.47806e-05,1.45323e-05
293.15,0.360077,1.47949e-05,1.45467e-05
293.15,0.358253,1.48092e-05,1.45612e-05
293.15,0.35643,1.48236e-05,1.45757e-05
293.15,0.354606,1.4838e-05,1.45902e-05
293.15,0.352783,1.48524e-05,1.46048e-05
293.15,0.350959,1.48668e-05,1.46194e-05
293.15,0.349136,1.48812e-05,1.4634e-05
293.15,0.347312,1.48957e-05,1.46487e-05
293.15,0.345489,1.49102e-05,1.46634e-05
293.15,0.343665,1.49247e-05,1.46782e-05
293.15,0.341841,1.49393e-05,1.46929e-05
293.15,0.340018,1.49539e-05,1.47077e-05
293.15,0.338194,1.49685e-05,1.47226e-05
293.15,0.336371,1.49831e-05,1.47375e-05
293.15,0.334547,1.49978e-05,1.47524e-05
293.15,0.332724,1.50125e-05,1.47673e-05
293.15,0.3309,1.50272e-05,1.47823e-05
293.15,0.329076,1.50419e-05,1.47974e-05
293.15,0.327253,1.50567e-05,1.48124e-05
293.15,0.325429,1.50715e-05,1.48275e-05
293.15,0.323606,1.50863e-05,1.48426e-05
293.15,0.321782,1.51012e-05,1.48578e-05
293.15,0.319959,1.51161e-05,1.4873e-05
293.15,0.318135,1.5131e-05,1.48883e-05
293.15,0.316312,1.51459e-05,1.49035e-05
293.15,0.314488,1.51609e-05,1.49189e-05
