YCH4,DavidsonSU2,DavidsonStandalone,WilkeSU2,WilkeStandalone
0.704859674,1.23E-05,1.23E-05,1.25E-05,1.25E-05
0.703008115,1.23E-05,1.23E-05,1.25E-05,1.25E-05
0.701156497,1.23E-05,1.23E-05,1.25E-05,1.25E-05
0.699304998,1.24E-05,1.23E-05,1.25E-05,1.25E-05
0.69745338,1.24E-05,1.24E-05,1.25E-05,1.25E-05
0.695601821,1.24E-05,1.24E-05,1.25E-05,1.25E-05
0.693750203,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.691898644,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.690047026,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.688195467,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.686343849,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.68449223,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.682640672,1.24E-05,1.24E-05,1.26E-05,1.26E-05
0.680789053,1.25E-05,1.24E-05,1.26E-05,1.26E-05
0.678937495,1.25E-05,1.25E-05,1.26E-05,1.26E-05
0.677085876,1.25E-05,1.25E-05,1.27E-05,0.000012647
0.675234377,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.673382759,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.6715312,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.669679582,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.667828023,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.665976405,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.664124787,1.25E-05,1.25E-05,1.27E-05,1.27E-05
0.662273228,1.26E-05,1.25E-05,1.27E-05,1.27E-05
0.66042161,1.26E-05,1.26E-05,1.28E-05,1.27E-05
0.658570051,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.656718433,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.654866874,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.653015256,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.651163697,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.649312079,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.64746058,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.645608962,1.26E-05,1.26E-05,1.28E-05,1.28E-05
0.643757343,1.27E-05,1.27E-05,1.28E-05,1.28E-05
0.641905785,1.27E-05,1.27E-05,1.29E-05,0.000012856
0.640054166,1.27E-05,1.27E-05,1.29E-05,1.29E-05
0.638202608,1.27E-05,1.27E-05,1.29E-05,1.29E-05
0.636350989,1.27E-05,0.000012693,1.29E-05,1.29E-05
0.634482503,1.27E-05,1.27E-05,1.29E-05,1.29E-05
0.632478714,1.27E-05,0.000012715,1.29E-05,1.29E-05
0.630474985,1.27E-05,1.27E-05,1.29E-05,1.29E-05
0.628471136,1.27E-05,1.27E-05,1.29E-05,1.29E-05
0.626467407,1.28E-05,1.27E-05,1.30E-05,1.29E-05
0.624463558,1.28E-05,1.28E-05,1.30E-05,0.000012962
0.622459769,1.28E-05,1.28E-05,1.30E-05,1.30E-05
0.62045604,1.28E-05,1.28E-05,1.30E-05,1.30E-05
0.618452191,1.28E-05,1.28E-05,1.30E-05,1.30E-05
0.616448462,1.28E-05,1.28E-05,1.30E-05,1.30E-05
0.614444613,1.28E-05,1.28E-05,1.30E-05,1.30E-05
0.612440884,1.28E-05,1.28E-05,1.30E-05,0.000013036
0.610437095,1.28E-05,1.28E-05,1.31E-05,1.30E-05
0.608433306,1.29E-05,1.29E-05,1.31E-05,1.31E-05
0.606429517,1.29E-05,1.29E-05,1.31E-05,1.31E-05
0.604425788,1.29E-05,1.29E-05,1.31E-05,1.31E-05
0.602421939,1.29E-05,1.29E-05,1.31E-05,1.31E-05
0.60041815,1.29E-05,1.29E-05,1.31E-05,1.31E-05
0.598414361,1.29E-05,1.29E-05,1.31E-05,1.31E-05
0.596410573,1.29E-05,1.29E-05,1.31E-05,1.31E-05
